,Sx,Sy,Sz,Rx,Ry,Rz,Ax,Ay,Az,Attenuation,30Hz,60Hz,90Hz
90,1.4,2,0.82,1.4,1,0.82,0.2,0.5,0.82,6.00275310463152,3.00926094356136,38.8606560377691,3.02269388673076
91,1.4,2,0.82,1.4,1,0.82,0.2,0.55,0.82,6.01550813963176,5.43218487332359,22.5543565896932,0.464834883574037
92,1.4,2,0.82,1.4,1,0.82,0.2,0.6,0.82,6.33043830685403,17.3820325660298,9.74823096972081,0.172159032939176
93,1.4,2,0.82,1.4,1,0.82,0.2,0.65,0.82,4.79583608713519,34.3410414650227,3.85742845896559,1.83150500219356
94,1.4,2,0.82,1.4,1,0.82,0.2,0.7,0.82,7.36484218429566,47.5359602986473,6.96256289999784,3.92155458992616
95,1.4,2,0.82,1.4,1,0.82,0.2,0.75,0.82,11.405223795485,50.9006403099204,22.0952239010719,5.11028599745646
96,1.4,2,0.82,1.4,1,0.82,0.2,0.8,0.82,11.1071192102575,50.6154161852325,49.2263747098184,4.43369270204444
97,1.4,2,0.82,1.4,1,0.82,0.2,0.85,0.82,9.15491795073119,55.3160100927289,57.524495902459,1.96017480226514
98,1.4,2,0.82,1.4,1,0.82,0.2,0.9,0.82,7.96901510086775,50.7111823187515,46.2763807042201,0.63181843137593
99,1.4,2,0.82,1.4,1,0.82,0.2,0.95,0.82,7.86102023074827,53.6820242010196,52.1270800601098,0.501141588333656
100,1.4,2,0.82,1.4,1,0.82,0.2,1,0.82,8.77536505284598,55.1925975940806,52.3712152022715,1.49706942685123
101,1.4,2,0.82,1.4,1,0.82,0.2,1.05,0.82,10.1662026941708,60.6177933887258,45.4015196550461,3.20337066804146
102,1.4,2,0.82,1.4,1,0.82,0.2,1.1,0.82,10.419773119091,49.720232646644,45.4049488677196,3.48442547052479
103,1.4,2,0.82,1.4,1,0.82,0.2,1.15,0.82,9.26754651471961,54.9017224671205,55.7790997257117,2.13576364491079
104,1.4,2,0.82,1.4,1,0.82,0.2,1.2,0.82,8.76948896038517,58.6005424362087,49.1787090443295,1.53098659690294
105,1.4,2,0.82,1.4,1,0.82,0.2,1.25,0.82,7.71375374571124,48.6533423135287,45.7975780552883,0.29563194246292
106,1.4,2,0.82,1.4,1,0.82,0.2,1.3,0.82,7.49407369723605,46.1824301184733,45.3053002353349,0.103108941950771
107,1.4,2,0.82,1.4,1,0.82,0.2,1.35,0.82,7.94154712443788,48.5466560849286,23.5245852131479,0.629094252499758
108,1.4,2,0.82,1.4,1,0.82,0.2,1.4,0.82,6.27726816708801,46.990964846582,7.20104940798089,1.20658335857542
109,1.4,2,0.82,1.4,1,0.82,0.2,1.45,0.82,1.87537125171031,52.7818652900121,0.204380681574159,1.01155650078471
110,1.4,2,0.82,1.4,1,0.82,0.2,1.5,0.82,3.49194560075848,44.9999548594087,2.61995371237748,0.420716954676372
111,1.4,2,0.82,1.4,1,0.82,0.2,1.55,0.82,6.58420086872188,29.5261794696493,10.3536968414142,0.136697849699878
